,final_equity_gbp,total_return_pct,max_drawdown_pct,costs_gbp,cash_interest_gbp,final_stale_value_gbp,remaining_positions
Capped,12540.172161833454,25.401721618334538,-12.84114140645537,2467.465850707075,243.2366005041119,0.0,0.0
Capped benchmark,10484.549287427822,4.845492874278223,-16.2789509879529,156.2858412991905,223.89471152689146,0.0,0.0
Cash only,10777.190804171742,7.7719080417174125,0.0,0.0,777.1908041717415,0.0,0.0
Drawdown,10906.191522026964,9.061915220269645,-25.24406676911517,3080.086196165931,67.38284993242088,0.0,0.0
Drawdown benchmark,9697.593841374544,-3.024061586254556,-26.23802624161875,285.91423628863714,63.17374710121487,0.0,0.0
Original,12721.082421331377,27.210824213313778,-18.827130059986054,3515.258543774021,5.956407705754572,0.0,0.0
Original benchmark,10271.52669827095,2.715266982709519,-23.849565031958154,200.46229846986392,4.898494052480071,0.0,0.0
