configuration_id,variant,comparator,role,periods,mean_bps,hac_se_bps,ci_lower_bps,ci_upper_bps,z_stat,p_one_sided,p_holm_family,reject_holm
Original vs matched benchmark,Original,matched benchmark,primary,507,5.270515235088436,5.972748797659554,-6.4358572970292,16.976887767206073,0.8824270722977182,0.1887729505312568,1.0,False
Original vs cash,Original,cash,secondary,507,4.576889653393211,6.287676349752735,-7.746729538566421,16.900508845352842,0.7279143198223298,0.23333301838225995,1.0,False
Original vs zero,Original,zero,secondary,507,6.05330841448549,6.290001567397783,-6.274868120314654,18.381484949285635,0.9623699373718576,0.16793190460703283,1.0,False
Capped vs matched benchmark,Capped,matched benchmark,primary,507,4.074201012699492,4.4159262880882055,-4.580855470337038,12.729257495736022,0.9226152673085815,0.17810386827709013,1.0,False
Capped vs cash,Capped,cash,secondary,507,3.6602189583779543,4.566112124021353,-5.289196354075584,12.609634270831494,0.8016051421782472,0.21139070107906965,1.0,False
Capped vs zero,Capped,zero,secondary,507,5.1366377194702295,4.568417573536554,-3.817296191001281,14.09057162994174,1.1243800805830888,0.130425909386867,1.0,False
Drawdown vs matched benchmark,Drawdown,matched benchmark,primary,507,3.220023464253608,5.7714158516389125,-8.091743744762224,14.531790673269441,0.5579260872943709,0.28844742842034876,1.0,False
Drawdown vs cash,Drawdown,cash,secondary,507,1.3371929173619663,6.177957109721774,-10.771380515725877,13.445766350449809,0.2164458078314803,0.4143201314636895,1.0,False
Drawdown vs zero,Drawdown,zero,secondary,507,2.813611678454243,6.180258086371326,-9.299471585995992,14.926694942904478,0.45525795834623883,0.32446183410199625,1.0,False
