Date,Original,Original benchmark,Capped,Capped benchmark,Drawdown,Drawdown benchmark
2024-01-02,0.0084266677059468,-0.004045500733820151,0.005219410462737217,-0.0022638906011241966,0.0084266677059468,-0.004045500733820151
2024-01-03,-0.00863107578122635,-0.006569827973736619,-0.004472768585756959,-0.0035415044844396837,-0.00863107578122635,-0.006569827973736619
2024-01-04,0.014547945735534418,8.826659161442763e-05,0.008098391340091826,0.00010067824396098324,0.014547945735534418,8.826659161442763e-05
2024-01-05,0.011474748696370662,-0.0008942494154368097,0.006363547008242376,-0.0004471041270384113,0.011474748696370662,-0.0008942494154368097
2024-01-08,-0.013105340539913635,-0.0014809892304470385,-0.007561630496913274,-0.0007459085677116173,-0.013105340539913635,-0.0014809892304470385
2024-01-09,-0.018621952546259868,-0.002865662246493761,-0.011133268027680443,-0.0016787629063984566,-0.018621952546259868,-0.002865662246493761
2024-01-10,-0.005869500155258112,-0.006035262168745725,-0.0034758053495038688,-0.003583364832126845,-0.005869500155258112,-0.006035262168745725
2024-01-11,-0.0009622670079746376,-0.006688160512821728,-0.0005379158860855382,-0.003974334698852999,-0.0009622670079746376,-0.006688160512821728
2024-01-12,0.0011787089477914847,0.00656511521221792,0.0007476575218878789,0.003972041741056032,0.0011787089477914847,0.00656511521221792
2024-01-15,-0.00811148500001313,-0.004050765892623764,-0.004754347800744352,-0.002313376093051267,-0.00811148500001313,-0.004050765892623764
2024-01-16,-0.011194953508895877,-0.0008263581510925544,-0.0067009803676375546,-0.0004549302424198265,-0.011194953508895877,-0.0008263581510925544
2024-01-17,-0.02482447610884264,-0.015303673602450996,-0.014864299688094329,-0.009174336006079642,-0.02482447610884264,-0.015303673602450996
2024-01-18,-0.02816051598838265,-0.0065517731147413105,-0.01688862363272836,-0.00389663531137896,-0.02816051598838265,-0.0065517731147413105
2024-01-19,0.024729957568222938,-0.0037898901457507073,0.01527526631544518,-0.0022348417773763174,0.024001574323947894,-0.0037618157780429096
2024-01-22,-0.01292489747491099,0.0010712418244127608,-0.007670643301746827,0.000767024758220769,-0.012895188214493425,0.0009563271948647145
2024-01-23,-0.02269104613608408,0.0012862763785452813,-0.013610171289433537,0.0008129860015446688,-0.022691118354832063,0.0012862535666537944
2024-01-24,-0.004035734666544388,0.005554222803596298,-0.002350789342582371,0.0033760720587359128,-0.0028636185756261145,0.005310843616418426
2024-01-25,0.0073088378048487,0.010740458155304111,0.004423950457061787,0.006493111668862017,0.006456363762691986,0.009406956395816346
2024-01-26,0.0087420907586222,0.007554007048725442,0.005286653741398695,0.004577284467463638,0.008021424661064813,0.0069794925429782495
2024-01-29,0.003093838586840425,0.013991876249090485,0.001986716381433773,0.008532053472365186,0.00322970468428041,0.013651099754858897
2024-01-30,-0.003525596696128619,0.002772166556285205,-0.0020635379399518428,0.0017122918277436838,-0.003538754558366386,0.0027083513807737436
2024-01-31,0.01055159121930127,0.0025169793429140608,0.006855516583854637,0.0015869896185525256,0.01022341033688634,0.0024525309635288206
2024-02-01,0.004950592470619908,-0.006213787087195777,0.0032588555269408293,-0.004006225638789496,0.004868146859872358,-0.006213374407185945
2024-02-02,-0.007481432074028405,0.0011168932749661131,-0.004834508700158779,0.0007580771506510153,-0.007481569464320659,0.0011169119614762302
2024-02-05,0.01573475565307847,0.004660439612990341,0.010334338713157143,0.0031394611948540874,0.015734755881174012,0.0046606692972075425
2024-02-06,0.02466535627888411,0.005822277276365639,0.01611090064170906,0.003825471432858718,0.024665356276163397,0.0058225626843593226
2024-02-07,-0.010971438461894079,-0.00292232357373734,-0.007137668546467357,-0.0018686140376888982,-0.010971438461904293,-0.0029224659969729894
2024-02-08,0.01928790857473861,0.004995256369250578,0.012573329194166538,0.003285570296606588,0.019287908574738832,0.004995500533118147
2024-02-09,-0.005448105048211693,-0.0070784932381336985,-0.0034756039978182107,-0.0045671438237803175,-0.005448105048211804,-0.007078837509035929
2024-02-12,0.024077718555519656,0.004666971379542195,0.01576139083226069,0.0031402137336939973,0.024077718555519656,0.004667199981458703
2024-02-13,-0.02010705781589517,-0.005810092257887756,-0.013021926240033066,-0.0037438870987668293,-0.02010705781589517,-0.005810375531118628
2024-02-14,-0.010363831845207061,-0.0007227069576879463,-0.006393072884130491,-0.0004330308776802072,-0.010363831845207061,-0.0007227423994666804
2024-02-15,0.002452715636614977,0.004766751702041994,0.0015848573926129372,0.003138041079301379,0.0024527156366156433,0.004766985634135468
2024-02-16,0.0177620593629384,0.006329185131142223,0.01159228819225433,0.004156926600185296,0.0177620593629384,0.006329494267238944
2024-02-19,-0.013106150320997156,-0.002077040908064487,-0.008365665684436419,-0.0012441833796958957,-0.013106150320997156,-0.0020771417187964714
2024-02-20,-0.011689362049657759,-0.005022863086485474,-0.007569600534409027,-0.003235612760898565,-0.011689362049657648,-0.005023107382333469
2024-02-21,-0.019700720323749032,-0.006792533098054165,-0.012777674823171492,-0.004387122114081765,-0.019700720323749255,-0.006792865132787873
2024-02-22,-0.008270115377265963,-0.003237777597856706,-0.005334905560443248,-0.00207106133564372,-0.008270115377266296,-0.00323793695037633
2024-02-23,0.05284642935941308,0.005689513365799481,0.03456270768506431,0.003737677494257907,0.05284642935941286,0.005689794294132966
2024-02-26,0.024330015219134138,-0.0016235169081898482,0.016111308667248858,-0.0009447840895094872,0.024330015219134138,-0.0016235966182602812
2024-02-27,-0.030902190767617355,-0.004625143823776656,-0.018852418431342666,-0.002792286240958841,-0.030902190767617466,-0.004625371274495027
2024-02-28,0.0017620384977603543,-0.007826492922219042,0.0010771570575864864,-0.004665517198530811,0.0017620384977605763,-0.007826879594197811
2024-02-29,-0.028908132654563712,-0.0041853897952681685,-0.017365888190928658,-0.0024740293010585557,-0.0289081326545636,-0.004185598207863017
2024-03-01,0.024945951051815518,0.010724115879892082,0.015090630458108878,0.006488487550948996,0.024945951051815518,0.010724652134631807
2024-03-04,0.02131007421400244,0.000502563704695369,0.012937407996081118,0.0004279911762061772,0.02131007421400266,0.0005025885685181475
2024-03-05,-0.0019684196304610158,0.0002516779210652853,-0.0011202738064463036,0.000192038050718768,-0.0019684196304607937,0.00025169036631589314
2024-03-06,0.009571166450073498,0.0022080519012077637,0.00578891342766874,0.0013672264572224258,0.009571166450073276,0.0022081610599578028
2024-03-07,0.006259467149409614,0.0012168473785012512,0.003797947724340167,0.0007728314535586644,0.0062594671494100584,0.001216907402850076
2024-03-08,-0.007874065588455714,0.00255183323248942,-0.0046949235218295415,0.0015741268571607403,-0.007874065588455936,0.0025519589556979305
2024-03-11,-0.025659653327905207,1.0519716164836268e-07,-0.01529572173728222,0.00012272292461723566,-0.025659653327905096,1.0520233018063152e-07
2024-03-12,0.00924164181321352,0.002979303880697115,0.0056236855778799555,0.001830282622465207,0.009241641813213963,0.0029794502907953824
2024-03-13,0.01604199756465552,0.0028152514642667548,0.00969754390654698,0.0017354683540646842,0.016041997564655963,0.002815389401461088
2024-03-14,-0.01038145979345595,-0.004381316642585897,-0.006189247727815705,-0.00259209829092244,-0.01038145979345595,-0.0043815307086605415
2024-03-15,0.002138592037774112,1.396232510697537e-05,0.001331489172408995,4.6663262581736475e-05,0.002138592037774112,1.3963010290440891e-05
2024-03-18,-0.02339643669319702,-0.003403116849855392,-0.014012288672988316,-0.0019236210020201483,-0.023396436693196687,-0.003403283851617478
2024-03-19,0.0001329517384469625,-0.0008855926722234342,0.00013539759644776161,-0.0004908276676717227,0.00013295173844674046,-0.0008856362794792405
2024-03-20,0.013730483322488718,0.005197346276960113,0.008995019258045467,0.0032763717598378594,0.01373048332248894,0.005197602425093706
2024-03-21,-0.008336864347449513,0.0020957880356227143,-0.005413424505858799,0.001403534089287506,-0.008336864347450068,0.002095890791212751
2024-03-22,0.0060083988855375026,-0.0008105197072438841,0.003951569087675244,-0.0004916072194869336,0.0060083988855375026,-0.0008105593635634456
2024-03-25,-0.011895330529752557,-0.0034029541461804147,-0.007620551326410041,-0.0021092167826429753,-0.011895330529753223,-0.003403120777670021
2024-03-26,0.013147835597641544,0.0029149633750902293,0.008581594739982323,0.0019325269019836444,0.013147835597641766,0.0029151065986818825
2024-03-27,-0.007850922342385713,0.0007468144282860578,-0.005066802021867711,0.0005225777484270111,-0.007850922342385713,0.0007468510155534958
2024-03-28,0.019699501233962247,0.0060603954129336834,0.012838893279671915,0.00398177639977626,0.019699501233962025,0.00606069209685689
2024-04-02,0.022526514400173392,0.002426322206681153,0.014953070985045835,0.0017611419326248878,0.022526514400173614,0.0024264402706408728
2024-04-03,0.0028738044097909032,0.005576623471462705,0.0020011671895647787,0.00366773158813416,0.0028738044097909032,0.0055768941711049624
2024-04-04,0.01598122901269372,0.003779588869101458,0.01043014735478165,0.002496091224396757,0.0159812290126935,0.00377977131984375
2024-04-05,0.02642251805063811,0.0019954910295212347,0.017237884948277715,0.001350006765776568,0.026422518050638333,0.0019955869944190407
2024-04-08,0.03709526169575428,0.019404614426270284,0.026637872591479095,0.0137462907615864,0.037095261695754056,0.01940554575251796
2024-04-09,0.017465606404440503,0.007792876674632021,0.012267802841977593,0.005498219272338067,0.01746560640444006,0.007793243574568232
2024-04-10,0.015306852849216401,0.0029929947994697947,0.010774341073890747,0.0021357222790885366,0.015306852849216623,0.002993134624316607
2024-04-11,-0.016324130535413928,-9.76253900246693e-05,-0.011404948965532347,-3.790318874863363e-05,-0.01632413053541415,-9.762993721529334e-05
2024-04-12,-0.0029059962232022007,-0.0003978917523599357,-0.001992728101298913,-0.00024843146688957596,-0.0029059962232017567,-0.0003979102871544127
