Date,Original vs matched benchmark,Original vs cash,Original vs zero,Capped vs matched benchmark,Capped vs cash,Capped vs zero,Drawdown vs matched benchmark,Drawdown vs cash,Drawdown vs zero
2024-01-02,0.01247216843976695,0.008018143108023868,0.0084266677059468,0.007483301063861414,0.004810885864814285,0.005219410462737217,0.01247216843976695,0.008018143108023868,0.0084266677059468
2024-01-03,-0.00206124780748973,-0.008733191288277068,-0.00863107578122635,-0.0009312641013172751,-0.004574884092807677,-0.004472768585756959,-0.00206124780748973,-0.008733191288277068,-0.00863107578122635
2024-01-04,0.01445967914391999,0.014445830228483699,0.014547945735534418,0.007997713096130843,0.007996275833041107,0.008098391340091826,0.01445967914391999,0.014445830228483699,0.014547945735534418
2024-01-05,0.012368998111807472,0.011372633189319943,0.011474748696370662,0.0068106511352807875,0.006261431501191658,0.006363547008242376,0.012368998111807472,0.011372633189319943,0.011474748696370662
2024-01-08,-0.011624351309466596,-0.013411718344860947,-0.013105340539913635,-0.006815721929201657,-0.007868008301860586,-0.007561630496913274,-0.011624351309466596,-0.013411718344860947,-0.013105340539913635
2024-01-09,-0.015756290299766107,-0.018724068053310585,-0.018621952546259868,-0.009454505121281986,-0.011235383534731162,-0.011133268027680443,-0.015756290299766107,-0.018724068053310585,-0.018621952546259868
2024-01-10,0.00016576201348761366,-0.00597161566230883,-0.005869500155258112,0.00010755948262297643,-0.003577920856554587,-0.0034758053495038688,0.00016576201348761366,-0.00597161566230883,-0.005869500155258112
2024-01-11,0.0057258935048470905,-0.0010643825150253557,-0.0009622670079746376,0.003436418812767461,-0.0006400313931362563,-0.0005379158860855382,0.0057258935048470905,-0.0010643825150253557,-0.0009622670079746376
2024-01-12,-0.0053864062644264354,0.0010765934407407666,0.0011787089477914847,-0.0032243842191681527,0.0006455420148371608,0.0007476575218878789,-0.0053864062644264354,0.0010765934407407666,0.0011787089477914847
2024-01-15,-0.004060719107389366,-0.008417862804960442,-0.00811148500001313,-0.002440971707693085,-0.005060725605691664,-0.004754347800744352,-0.004060719107389366,-0.008417862804960442,-0.00811148500001313
2024-01-16,-0.010368595357803323,-0.011297069015946596,-0.011194953508895877,-0.006246050125217728,-0.006803095874688273,-0.0067009803676375546,-0.010368595357803323,-0.011297069015946596,-0.011194953508895877
2024-01-17,-0.009520802506391646,-0.02492659161589336,-0.02482447610884264,-0.005689963682014687,-0.014966415195145048,-0.014864299688094329,-0.009520802506391646,-0.02492659161589336,-0.02482447610884264
2024-01-18,-0.02160874287364134,-0.028262631495433368,-0.02816051598838265,-0.012991988321349401,-0.01699073913977908,-0.01688862363272836,-0.02160874287364134,-0.028262631495433368,-0.02816051598838265
2024-01-19,0.028519847713973645,0.02462784206117222,0.024729957568222938,0.017510108092821497,0.01517315080839446,0.01527526631544518,0.027763390101990804,0.023899458816897177,0.024001574323947894
2024-01-22,-0.013996139299323751,-0.013231275279858302,-0.01292489747491099,-0.008437668059967596,-0.007977021106694139,-0.007670643301746827,-0.01385151540935814,-0.013201566019440737,-0.012895188214493425
