variant,Date,cash_gbp,stock_value_gbp,dividend_reserve_gbp,equity_gbp,dividends_accrued_gbp,cost_gbp,positions,pending_exits,stale_positions,stale_value_gbp,cash_interest_gbp,equity_return
Original,2023-12-29,10000.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,0.0,0.0,
Original,2024-01-02,4.085245979229285,10080.181431080238,0.0,10084.266677059468,0.0,9.99000999000999,12,0,0,0.0,4.0852459792293185,0.0084266677059468
Original,2024-01-03,41.41829553601781,9955.810311635654,0.0,9997.228607171672,0.0,11.930318443954336,11,0,0,0.0,0.00041716696459590604,-0.00863107578122635
Original,2024-01-04,0.0,10142.667746454537,0.0,10142.667746454537,0.0,7.380269200084891,11,0,0,0.0,0.004229450249836955,0.014547945735534418
Original,2024-01-05,0.0,10259.052309955887,0.0,10259.052309955887,0.0,5.815449899737608,11,0,0,0.0,0.0,0.011474748696370662
Original,2024-01-08,6.821210263296962e-13,10124.603935817127,0.0,10124.603935817127,0.0,6.8145784651735735,12,0,0,0.0,0.0,-0.013105340539913635
Original,2024-01-09,6.8125446009125685,9929.251497173753,0.0,9936.064041774665,0.0,8.723708300751586,12,0,0,0.0,6.965513447361319e-17,-0.018621952546259868
Original,2024-01-10,7.389644451905042e-13,9877.744312338815,0.0,9877.744312338815,0.0,8.473763207127586,12,0,0,0.0,0.0006956664462278193,-0.005869500155258112
Original,2024-01-11,33.566106082499665,9834.673178791341,0.0,9868.239284873842,0.0,8.398685746827148,12,0,0,0.0,7.545972901308096e-17,-0.0009622670079746376
Original,2024-01-12,15.559538259603766,9864.311528558266,0.0,9879.87106681787,0.0,10.037064264335823,12,0,0,0.0,0.003427619942332648,0.0011787089477914847
Original,2024-01-15,0.0,9799.730640857313,0.0,9799.730640857313,0.0,8.389709580214678,12,0,0,0.0,0.004767097177971127,-0.00811148500001313
Original,2024-01-16,1.1510792319313623e-12,9690.023111933211,0.0,9690.023111933213,0.0,4.970730924936574,12,0,0,0.0,0.0,-0.011194953508895877
Original,2024-01-17,0.0,9449.473364696894,0.0,9449.473364696894,0.0,6.629556953157273,12,0,0,0.0,1.1754303942422226e-16,-0.02482447610884264
Original,2024-01-18,0.0,9183.371318928552,0.0,9183.371318928552,0.0,6.429585973889022,12,0,0,0.0,0.0,-0.02816051598838265
Original,2024-01-19,0.0,9410.47570197889,0.0,9410.47570197889,0.0,6.602181362955271,12,0,0,0.0,0.0,0.024729957568222938
Original,2024-01-22,0.0,9288.846268340672,0.0,9288.846268340672,0.0,8.194456248301385,12,0,0,0.0,0.0,-0.01292489747491099
Original,2024-01-23,0.0,9078.072629114762,0.0,9078.072629114762,0.0,7.824643252162881,12,0,0,0.0,0.0,-0.02269104613608408
Original,2024-01-24,72.25080371514218,8969.185132984894,0.0,9041.435936700036,0.0,4.991244228287359,12,0,0,0.0,0.0,-0.004035734666544388
Original,2024-01-25,19.855025919650032,9087.663299564656,0.0,9107.518325484307,0.0,4.833021521007249,12,0,0,0.0,0.007377927456193655,0.0073088378048487
Original,2024-01-26,6.821210263296962e-13,9187.137077271505,0.0,9187.137077271505,0.0,1.935282576398552,12,0,0,0.0,0.0020275060392902144,0.0087420907586222
Original,2024-01-29,0.0,9215.56059646376,0.0,9215.56059646376,0.0,4.998840920778781,12,0,0,0.0,2.089867427553002e-16,0.003093838586840425
Original,2024-01-30,32.02343234032955,9151.046814131565,0.0,9183.070246471894,0.0,4.8085484960044935,12,0,0,0.0,0.0,-0.003525596696128619
Original,2024-01-31,13.928180917682539,9266.03806893311,0.0,9279.966249850793,0.0,2.80744626325058,13,0,0,0.0,0.0032700890309371178,0.01055159121930127
Original,2024-02-01,22.822222169039037,9303.085358725872,0.0,9325.907580894911,0.0,1.6472822176714308,13,0,0,0.0,0.0014222832567032894,0.004950592470619908
Original,2024-02-02,0.0,9256.13643679978,0.0,9256.13643679978,0.0,6.007148416370422,13,0,0,0.0,0.002330502788815562,-0.007481432074028405
Original,2024-02-05,7.35603901757958,9394.423442906802,0.0,9401.77948192438,0.0,4.540270399986765,13,0,0,0.0,0.0,0.01573475565307847
Original,2024-02-06,111.60922514319829,9522.06849735835,0.0,9633.677722501548,0.0,6.442762659237115,13,0,0,0.0,0.0007511656541650054,0.02466535627888411
