symbol,rows,expected_days,missing_days,invalid_timestamp_rows,outside_range_rows,off_midnight_rows,duplicate_rows,nonfinite_numeric_rows,nonpositive_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,passed
BTC-GBP,2557,2557,0,0,0,0,0,0,0,0,0,0,True
ETH-GBP,2557,2557,0,0,0,0,0,0,0,0,0,0,True
