product_id,day,execution_at,reference_bar_start,assumed_available_at,age_upper_bound_minutes,reference_price_usd,raw_path
LTC-USD,2023-06-14 00:00:00+00:00,2023-06-14 00:14:00+00:00,2023-06-14 00:13:00+00:00,2023-06-14 00:14:00+00:00,1.0,77.45,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LTC-USD_20230614_0000_0015_60s.json
OP-USD,2023-06-14 00:00:00+00:00,2023-06-14 00:14:00+00:00,2023-06-14 00:13:00+00:00,2023-06-14 00:14:00+00:00,1.0,1.153,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/OP-USD_20230614_0000_0015_60s.json
SOL-USD,2023-06-14 00:00:00+00:00,2023-06-14 00:14:00+00:00,2023-06-14 00:13:00+00:00,2023-06-14 00:14:00+00:00,1.0,15.01,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/SOL-USD_20230614_0000_0015_60s.json
STX-USD,2023-06-14 00:00:00+00:00,2023-06-14 00:14:00+00:00,2023-06-14 00:13:00+00:00,2023-06-14 00:14:00+00:00,1.0,0.5164,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/STX-USD_20230614_0000_0015_60s.json
XLM-USD,2023-06-14 00:00:00+00:00,2023-06-14 00:14:00+00:00,2023-06-14 00:13:00+00:00,2023-06-14 00:14:00+00:00,1.0,0.08265,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/XLM-USD_20230614_0000_0015_60s.json
ADA-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,0.2624,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ADA-USD_20230615_0000_0015_60s.json
ALGO-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,0.1127,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ALGO-USD_20230615_0000_0015_60s.json
APT-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:01:00+00:00,2023-06-15 00:02:00+00:00,4.0,6.02,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/APT-USD_20230615_0000_0015_60s.json
ATOM-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,8.503,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ATOM-USD_20230615_0000_0015_60s.json
AVAX-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,11.35,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/AVAX-USD_20230615_0000_0015_60s.json
BCH-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,101.85,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BCH-USD_20230615_0000_0015_60s.json
BTC-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,25093.26,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/BTC-USD_20230615_0000_0015_60s.json
CRV-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,0.5735,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/CRV-USD_20230615_0000_0015_60s.json
DOT-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,4.559,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/DOT-USD_20230615_0000_0015_60s.json
ETH-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,1649.6,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ETH-USD_20230615_0000_0015_60s.json
FET-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:03:00+00:00,2023-06-15 00:04:00+00:00,2.0,0.18,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/FET-USD_20230615_0000_0015_60s.json
FIL-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,3.559,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/FIL-USD_20230615_0000_0015_60s.json
