Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2008-01-02,129.85800170898438,129.85800170898438,129.85800170898438,129.85800170898438,83.17174530029297,0,0.0,0.0,0.0
2008-01-03,129.85800170898438,129.85800170898438,129.85800170898438,129.85800170898438,83.17174530029297,0,0.0,0.0,0.0
2008-01-04,130.25,130.25,130.25,130.25,83.42280578613281,0,0.0,0.0,0.0
2008-01-07,130.1649932861328,130.1649932861328,130.1649932861328,130.1649932861328,83.36835479736328,0,0.0,0.0,0.0
2008-01-08,129.78500366210938,129.78500366210938,129.78500366210938,129.78500366210938,83.1249771118164,0,0.0,0.0,0.0
2008-01-09,130.06399536132812,130.06399536132812,130.06399536132812,130.06399536132812,83.30365753173828,0,0.0,0.0,0.0
2008-01-10,129.66000366210938,129.66000366210938,129.66000366210938,129.66000366210938,83.044921875,0,0.0,0.0,0.0
2008-01-11,129.0570068359375,129.0570068359375,129.0570068359375,129.0570068359375,82.6587142944336,0,0.0,0.0,0.0
2008-01-14,129.031005859375,129.031005859375,129.031005859375,129.031005859375,82.64205169677734,0,0.0,0.0,0.0
2008-01-15,129.25100708007812,129.25100708007812,129.25100708007812,129.25100708007812,82.78296661376953,0,0.0,0.0,0.0
2008-01-16,129.38299560546875,129.38299560546875,129.38299560546875,129.38299560546875,82.86747741699219,0,0.0,0.0,0.0
2008-01-17,129.10400390625,129.10400390625,129.10400390625,129.10400390625,82.68879699707031,0,0.0,0.0,0.0
2008-01-18,128.72300720214844,128.72300720214844,128.72300720214844,128.72300720214844,82.44477844238281,0,0.0,0.0,0.0
2008-01-21,128.97900390625,128.97900390625,128.97900390625,128.97900390625,82.60871887207031,0,0.0,0.0,0.0
2008-01-22,127.59600067138672,127.59600067138672,127.59600067138672,127.59600067138672,81.72295379638672,0,0.0,0.0,0.0
2008-01-23,128.02699279785156,128.02699279785156,128.02699279785156,128.02699279785156,81.99899291992188,0,0.0,0.0,0.0
2008-01-24,127.06199645996094,127.06199645996094,127.06199645996094,127.06199645996094,81.38094329833984,0,0.0,0.0,0.0
2008-01-25,127.23999786376953,127.23999786376953,127.23999786376953,127.23999786376953,81.49494934082031,0,0.0,0.0,0.0
2008-01-28,127.55000305175781,127.55000305175781,127.55000305175781,127.55000305175781,81.69349670410156,0,0.0,0.0,0.0
2008-01-29,126.78700256347656,126.78700256347656,126.78700256347656,126.78700256347656,81.20479583740234,0,0.0,0.0,0.0
2008-01-30,126.86799621582031,126.86799621582031,126.86799621582031,126.86799621582031,81.25667572021484,0,0.0,0.0,0.0
2008-01-31,127.46099853515625,127.46099853515625,127.46099853515625,127.46099853515625,81.6364974975586,0,0.0,0.0,0.0
2008-02-01,127.38500213623047,127.38500213623047,127.38500213623047,127.38500213623047,81.58782196044922,0,0.0,0.0,0.0
2008-02-04,127.29399871826172,127.29399871826172,127.29399871826172,127.29399871826172,81.52952575683594,0,0.0,0.0,0.0
2008-02-05,127.93800354003906,127.93800354003906,127.93800354003906,127.93800354003906,81.94197845458984,0,0.0,0.0,0.0
2008-02-06,127.44100189208984,127.44100189208984,127.44100189208984,127.44100189208984,81.62366485595703,0,0.0,0.0,0.0
2008-02-07,127.61900329589844,127.61900329589844,127.61900329589844,127.61900329589844,81.73768615722656,0,0.0,0.0,0.0
