Date,Open,High,Low,Close,Volume
2024-08-06,664.0,670.0,647.5,654.0,1215343
2024-08-05,649.5,657.5,631.0,657.0,1406093
2024-08-02,692.5,692.5,668.0,670.0,1384102
2024-08-01,715.5,716.0,692.0,700.0,1156232
2024-07-31,729.5,737.0,714.5,716.5,1752779
2024-07-30,718.5,728.0,715.5,720.0,734796
2024-07-29,723.5,740.0,716.5,716.5,869406
